,X,Y,Rent
236,59.856835,30.316317,1000.0
237,59.860617,30.192583,653.8461538461538
238,60.034677,30.239682,678.5714285714286
239,59.914973,30.3217159,1363.6363636363637
240,59.93166,30.352764,975.609756097561
241,59.838023,30.35216,645.1612903225806
242,59.83975,30.111825,600.0
243,59.851607,30.146337,640.0
244,59.841975,30.113128,652.1739130434783
245,59.983851,30.348854,933.3333333333334
246,60.035958,30.222569,562.5
247,59.927213,30.3088657,1444.4444444444443
248,60.045781,30.3655,821.4285714285714
249,59.857328,30.4487012,925.925925925926
250,59.92020139,30.34586257,1850.0
251,60.029022,30.250049,740.7407407407408
252,59.854027,30.3474248,1714.2857142857142
253,59.928596,30.378309,1086.9565217391305
254,59.993064,30.356059,1200.0
255,60.075567,30.343577,615.3846153846154
256,60.016935,30.281893,769.2307692307693
257,59.987407,30.368123,593.75
258,59.850201,30.300687,878.7878787878788
259,59.827765,30.5469826,615.3846153846154
260,60.03998,30.415105,620.6896551724138
261,59.952426,30.482128,625.0
262,59.841975,30.113128,625.0
263,59.986634,30.256864,1075.0
264,59.916229,30.43955,800.0
265,59.86181,30.185496,600.0
266,59.849532,30.243006,600.0
267,60.028658,30.246465,666.6666666666666
268,60.029022,30.250049,782.6086956521739
269,59.998834,30.20735,740.7407407407408
270,59.825136,30.2204632,800.0
271,59.942938,30.3423537,926.829268292683
272,60.012663,30.3811018,866.6666666666666
273,59.958471,30.29977,1117.6470588235295
274,59.958821,30.299621,1000.0
275,59.831349,30.324456,1277.7777777777778
276,60.001005,30.324851,650.0
277,59.984296,30.208439,875.0
278,60.052933,30.312709,481.48148148148147
279,59.841749,30.224716,514.7058823529412
280,59.845191,30.330298,662.2516556291391
281,59.945297,30.2375773,666.6666666666666
282,59.840916,30.3852036,468.75
283,60.040629,30.3735817,450.0
284,60.051814,30.327726,512.5
285,59.85019,30.241576,434.7826086956522
286,60.035958,30.222569,676.4705882352941
287,60.006377,30.219284,540.5405405405405
288,60.040434,30.400471,486.4864864864865
289,60.025385,30.2165414,450.0
290,60.000726,30.221482,1052.6315789473683
291,59.832292,30.422472,571.4285714285714
292,59.939996,30.205798,475.0
293,60.011558,30.328337,625.0
294,60.008711,30.262903,523.8095238095239
295,59.840722,30.10409,527.7777777777778
296,60.030649,30.142412,514.2857142857143
297,60.073759,30.338317,664.8199445983379
298,60.056077,30.31205,770.8333333333334
299,60.014696,30.386702,638.8888888888889
300,60.08205,30.338425,439.0243902439024
301,59.988899,30.21265,625.0
302,59.837413,30.3579,777.7777777777778
303,59.845469,30.311152,636.3636363636364
304,60.035023,30.387428,487.8048780487805
305,59.980988,30.37425,714.2857142857143
306,59.993595,30.321824,645.1612903225806
307,59.929646,30.459455,600.0
308,60.040434,30.400471,568.8622754491018
309,59.857495,30.410326,510.8695652173913
310,59.861363,30.182603,454.54545454545456
311,59.855445,30.2208606,438.14432989690727
312,59.945812,30.3411681,1111.111111111111
313,59.989994,30.375238,757.5757575757576
314,59.878481,30.4795274,473.6842105263158
315,60.079639,30.33608,555.5555555555555
316,59.955955,30.2882135,750.0
317,59.718375,30.08263,435.8974358974359
318,60.001005,30.324851,650.0
319,60.001929,30.212281,831.0249307479224
320,59.873976,30.298863,562.5
321,59.792092,30.149103,534.8837209302326
322,60.008357,30.4181095,485.7142857142857
323,59.861778,30.189601,416.66666666666663
324,60.001929,30.212281,750.0
325,59.948163,30.252285,744.6808510638298
326,60.032396,30.411425,514.2857142857143
327,60.001005,30.324851,650.0
328,60.026896,30.21735,512.8205128205128
329,59.939996,30.205798,533.3333333333334
330,59.849944,30.1495,581.3953488372093
331,60.027849,30.2108736,377.77777777777777
332,59.857992,30.172057,418.6046511627907
333,59.846462,30.3131245,567.5675675675676
334,59.845935,30.374088,450.0
335,59.848359,30.3840495,478.2608695652174
336,60.032155,30.344982,511.1111111111111
337,59.907194,30.312032,1170.212765957447
338,59.953657,30.41924,500.0
339,60.02601,30.218105,380.95238095238096
340,60.08205,30.338425,404.76190476190476
341,60.035034,30.373667,631.578947368421
342,60.007151,30.213891,575.0
343,59.838561,30.350435,846.1538461538462
344,59.993293,30.356948,771.2082262210797
345,59.930092,30.458018,590.9090909090909
346,60.015179,30.309661,750.0
347,59.917836,30.448622,555.5555555555555
348,59.996809,30.203015,547.6190476190476
349,60.024296,30.2417004,432.43243243243245
350,60.032218,30.405241,589.7435897435897
351,59.85684,30.196338,391.30434782608694
352,60.057985,30.323396,380.0
353,59.873297,30.334432,1000.0
354,60.040577,30.21965,540.5405405405405
355,59.910265,30.45543,526.3157894736842
356,60.023722,30.369507,461.53846153846155
357,60.035297,30.250426,585.2941176470588
358,60.035297,30.250426,539.5833333333334
359,59.989477,30.193167,911.1111111111111
360,59.996299,30.193806,465.1162790697674
361,60.082305,30.343841,509.3833780160858
362,59.860179,30.415024,641.025641025641
363,60.001001,30.251692,609.7560975609756
364,59.848986,30.245036,500.0
365,60.000393,30.299932,742.8571428571429
366,59.84466,30.3167841,610.0795755968169
367,59.916503,30.2984703,918.918918918919
368,59.936361,30.219709,710.5263157894736
369,59.95435,30.214741,625.0
370,60.005747,30.478014,457.14285714285717
371,60.073759,30.338317,750.0
372,59.915034,30.470116,575.0
